state_forest,site_id,latitude,longitude,ph,cond,temp,depth,length,width,canopy,toc_mgL,tn_mgL,cl_mgL,no3_mgL,no3n_mgL,so4_mgL,na_mgL,nh4_mgL,k_mgL,mg_mgL,ca_mgL,ophos_mgL,pct_organic,teb_sed_ngg,teb_water_ngL
rothrock,ROTH_TR_05,40.6373093,-78.0670281,7.08,185.6,17.6,11,9.8,3.6,81.02,6.762,0.6326,1.0412,0.5992,0.1354,8.6379,1.223,NA,1.681,2.282,46.562,0.113,5.987265393,0.13,17
state_game_land,GWP_PL_06,40.7974064,-77.9627569,8.63,31.2,18.7,55.5,12.95,10.55,61.52,6.299,0.3406,2.8587,0.1795,0.0405,5.2122,3.248,0.013,0.751,0.606,5.617,0.001,9.166666667,NA,NA
state_game_land,GWP_PL_07,40.7975239,-77.9629319,6.43,63.1,16.3,26,22.5,7.15,80.76,6.896,0.3997,1.452,0.1905,0.043,5.5384,1.936,NA,1.18,1.37,18.246,0.001,54.78912067,NA,NA
state_game_land,GWP_PL_08,40.7952654,-77.9659541,6.39,137,15.4,34,21.08,5.65,87,3.869,0.4205,4.5794,0.1756,0.0397,11.7648,6.95,0.008,1.799,2.872,34.254,0.001,36.06365159,NA,NA
state_game_land,SC_SSR_03,40.8015901,-77.9448387,6.92,64.1,16.4,37,17.6,14.4,99.74,16.48,0.8273,0.7444,0.1676,0.0379,0.6223,0.769,NA,2.601,1.908,19.413,0.004,19.83333333,NA,NA
state_game_land,SC_SSR_04,40.8006924,-77.9449273,6.96,22.9,17.5,110,36,13.6,69.58,5.487,0.6585,1.3259,0.1981,0.0448,4.8358,1.183,0.099,1.369,1.353,5.225,0.042,11.83333333,NA,NA
state_game_land,SGL_MHS_01,40.7868525,-77.9987116,8.3,18.2,14.1,57,32.7,9.4,95.06,22.4,1.686,0.6178,0.1694,0.0383,0.5932,0.588,0.688,3.21,0.458,3.686,0.256,44.59121061,NA,NA
state_game_land,SGL_MHS_02,40.7872952,-77.9995742,9.69,8.9,13.9,29,16.1,4.3,97.66,10.19,0.4617,0.6801,0.1844,0.0417,0.7232,0.635,0.105,1.211,0.321,2.294,0.051,18.79519071,NA,NA
tuscarora,TUSC_2NR_03,40.224017,-77.5953934,7.09,14.6,20.9,69,19.55,15.28,96.62,11.57,0.7191,0.6102,0.2382,0.0538,1.3723,0.702,0.244,1.482,0.291,1.68,0.101,22.73197232,0.12,13
tuscarora,TUSC_2NR_04,40.2240311,-77.5949513,7.14,23.3,20.3,20,24.09,20.08,89.86,14.69,0.7995,0.6199,0.2484,0.0561,0.5182,0.648,0.164,1.763,0.452,4.532,0.112,11.50602098,0.13,17
tuscarora,TUSC_2NR_07,40.2248083,-77.5928399,6.86,43.2,18.7,56,10.78,9.63,95.58,8.604,0.5381,0.7033,0.2319,0.0524,3.3008,0.752,0.124,0.843,0.87,10.514,0.011,4.65920398,0.03,16
tuscarora,TUSC_2NR_08,40.225497,-77.5925425,9.05,22.9,16.4,38.5,25.7,11.09,96.89,3.622,0.2638,0.8226,0.2956,0.0668,3.3508,0.789,0.04,0.633,0.454,2.927,NA,51.16666667,0.14,8
tuscarora,TUSC_HR_01,40.2379115,-77.6350071,8.26,16.5,16.7,26.8,12.72,11.23,96.62,5.923,0.2994,0.7889,0.2445,0.0552,2.4904,0.769,0.072,0.623,0.535,4.566,NA,27.83333333,0.13,4.9
tuscarora,TUSC_HR_02,40.2398752,-77.6321432,8.46,9.7,17.8,26.5,10.74,8.33,96.62,6.844,0.3912,0.7983,0.2315,0.0523,1.2422,0.887,0.035,0.945,0.13,0.388,NA,91.50139374,0.24,5.3
tuscarora,TUSC_HR_03,40.2416319,-77.6303301,8.41,11.7,16.1,13,7.46,4.23,98.18,2.941,0.1619,0.8871,0.23,0.052,2.6529,0.921,NA,0.434,0.258,0.109,NA,33.16666667,0.2,3.3
tuscarora,TUSC_HR_04,40.2423057,-77.6303301,8.51,10.4,15.9,39.3,16.8,15.5,95.06,2.918,0.1453,0.934,0.2271,0.0513,2.4828,0.87,NA,0.377,0.243,0.215,NA,19.26237624,0.07,2
tuscarora,TUSC_HR_05,40.2423423,-77.629843,8.7,8.8,16.1,28.8,31.63,9.64,96.1,3.317,0.2561,1.1525,0.2266,0.0512,2.4832,0.968,0.056,0.797,0.422,0.553,NA,10.5,0.22,0.2
tuscarora,TUSC_HR_06,40.2427708,-77.6285368,7.75,9.9,14.7,19.6,13.83,9.3,77.12,3.407,0.2977,1.4711,0.2276,0.0514,2.5124,1.001,0.116,0.654,0.445,0.331,NA,25.25420875,0.08,4.1
tuscarora,TUSC_WLCK_03,40.4314016,-77.7101346,6.38,12.9,19.3,74,23.74,7.82,93.24,10.76,0.6106,1.088,0.3338,0.0754,1.6704,0.793,0.62,1.64,0.231,0.7,NA,48.58123953,0.04,23
tuscarora,TUSC_WLCK_04,40.4320075,-77.7092251,6.51,9.6,18.7,41,12.59,8.52,97.14,7.326,0.5518,0.8693,0.2861,0.0646,1.6353,0.779,0.23,0.925,0.203,0.513,NA,65.44574706,0.2,15
tuscarora,TUSC_WLCK_06,40.4373231,-77.7051098,7.39,19.8,15.1,8,12.32,9.48,92.72,3.138,1.265,1.9645,1.7676,0.3993,4.0475,1.506,0.384,1.073,0.935,1.89,NA,72.29700855,0.21,7.6
